Created by Online2PDF.com,,,,,,,,,,
TABEL BUKU INDUK,,,,,,,,,,
Ex JAKARTA - EFEKTIF: 15 APRIL 2013,,,,,,,,,,
Wilayah Kota,,,,,,,,,,
abc,,,,,,,,,,
Coding,,Kabupaten,Kecamatan,City Code,,,OKE,,TARIF YES,Page
,,,,,TARIF,ETD,TARIF,ETD,,
,,,,,,,,,,
BDJ10005,,Banjarmasin,Banjarmasin Utara,BDJ,30000,1 - 2,26000,3 - 5,38000,2
BDJ10100,,Hulu Sungai Tengah,Barabai,BDJ,42000,3 - 5,36000,5 - 7,-,2
BDJ10101,,Hulu Sungai Tengah,Batang Alai Selatan,BDJ,53000,5 - 7,45000,6 - 8,-,2
BDJ10102,,Hulu Sungai Tengah,Batu Benawa,BDJ,53000,5 - 7,45000,6 - 8,-,2
BDJ10103,,Hulu Sungai Tengah,Batang Alai Utara,BDJ,53000,5 - 7,45000,6 - 8,-,2
BDJ10104,,Hulu Sungai Tengah,Haruyan,BDJ,53000,5 - 7,45000,6 - 8,-,2
BDJ10105,,Hulu Sungai Tengah,Labuan Amas Selatan,BDJ,53000,5 - 7,45000,6 - 8,-,2
BDJ10106,,Hulu Sungai Tengah,Labuan Amas Utara,BDJ,53000,5 - 7,45000,6 - 8,-,2
BDJ10107,,Hulu Sungai Tengah,Pandawan,BDJ,53000,5 - 7,45000,6 - 8,-,2
BDJ10108,,Hulu Sungai Tengah,Batang Alai Tengah,BDJ,53000,5 - 7,45000,6 - 8,-,2
BDJ10109,,Hulu Sungai Tengah,Hantakan,BDJ,53000,5 - 7,45000,6 - 8,-,2
BDJ10200,,Hulu Sungai Selatan,Kandangan,BDJ,42000,3 - 5,36000,5 - 7,-,2
BDJ10201,,Hulu Sungai Selatan,Angkinang,BDJ,53000,5 - 7,45000,6 - 8,-,2
BDJ10202,,Hulu Sungai Selatan,Daha Selatan,BDJ,53000,5 - 7,45000,6 - 8,-,2
BDJ10203,,Hulu Sungai Selatan,Daha Utara,BDJ,53000,5 - 7,45000,6 - 8,-,2
