Created by Online2PDF.com,,,,,,,,,,
TABEL BUKU INDUK,,,,,,,,,,
Ex JAKARTA - EFEKTIF: 15 APRIL 2013,,,,,,,,,,
Wilayah Kota,,,,,,,,,,
abc,,,,,,,,,,
Coding,,Kabupaten,Kecamatan,City Code,,,OKE,,TARIF YES,Page
,,,,,TARIF,ETD,TARIF,ETD,,
,,,,,,,,,,
KDI20801,,Konawe Utara/ Selatan,Angata,KDI,78000,5 - 7,67000,6 - 8,-,21
KDI20802,,Konawe Utara/ Selatan,Kolono,KDI,78000,5 - 7,67000,6 - 8,-,21
KDI20803,,Konawe Utara/ Selatan,Konda,KDI,78000,5 - 7,67000,6 - 8,-,21
KDI20804,,Konawe Utara/ Selatan,Lainea,KDI,78000,5 - 7,67000,6 - 8,-,21
KDI20805,,Konawe Utara/ Selatan,Landono,KDI,78000,5 - 7,67000,6 - 8,-,21
KDI20806,,Konawe Utara/ Selatan,Laonti,KDI,78000,5 - 7,67000,6 - 8,-,21
KDI20807,,Konawe Utara/ Selatan,Moramo,KDI,78000,5 - 7,67000,6 - 8,-,21
KDI20808,,Konawe Utara/ Selatan,Palangga,KDI,78000,5 - 7,67000,6 - 8,-,21
KDI20809,,Konawe Utara/ Selatan,Ranomeeto,KDI,78000,5 - 7,67000,6 - 8,-,21
KDI20810,,Konawe Utara/ Selatan,Tinanggea,KDI,78000,5 - 7,67000,6 - 8,-,21
KDI20900,,Wakatobi,Wangi-Wangi,KDI,62000,3 - 5,53000,5 - 7,-,21
KDI20901,,Wakatobi,Wangi-Wangi Selatan,KDI,78000,5 - 7,67000,6 - 8,-,22
KDI20902,,Wakatobi,Kaledupa,KDI,78000,5 - 7,67000,6 - 8,-,22
KDI20903,,Wakatobi,Tomia,KDI,117000,10~,-,-,-,22
KDI20904,,Wakatobi,Binongko,KDI,117000,10~,-,-,-,22
KDR10000,,Kediri,Kediri,KDR,20000,1 - 2,17000,2 - 3,27000,22
KDR10001,,Kediri,Gampengrejo,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10002,,Kediri,Grogol,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10003,,Kediri,Gurah,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10004,,Kediri,Kandat,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10005,,Kediri,Kras,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10006,,Kediri,Kunjang,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10007,,Kediri,Mojo,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10008,,Kediri,Ngadiluwih,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10009,,Kediri,Pagu,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10010,,Kediri,Papar,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10011,,Kediri,Plemahan,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10012,,Kediri,Plosoklaten,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10013,,Kediri,Purwoasri,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10014,,Kediri,Semen,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10015,,Kediri,Tarokan,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10016,,Kediri,Wates,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10017,,Kediri,Pare,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10018,,Kediri,Kandangan,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10019,,Kediri,Kepung,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10020,,Kediri,Ngancar,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10021,,Kediri,Puncu,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10022,,Kediri,Banyakan,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10023,,Kediri,Kayen Kidul,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10024,,Kediri,Ringinrejo,KDR,24000,2 - 4,21000,3 - 6,-,22
KDR10025,,Kediri,Mojoroto,KDR,20000,1 - 2,17000,2 - 3,27000,22
KDR10026,,Kediri,Pesantren,KDR,20000,1 - 2,17000,2 - 3,27000,22
KOE10000,,Kupang,Kupang,KOE,50000,2 - 3,43000,3 - 5,-,22
KOE10029,,Kupang,Alak,KOE,50000,2 - 3,43000,3 - 5,-,22
KOE10030,,Kupang,Kelapa Lima,KOE,50000,2 - 3,43000,3 - 5,-,22
KOE10031,,Kupang,Mawlapa,KOE,50000,2 - 3,43000,3 - 5,-,22
KOE10032,,Kupang,Oebobo,KOE,50000,2 - 3,43000,3 - 5,-,22
KOE10100,,Sumba Tengah,Waibakul,KOE,123000,10~,-,-,-,22
KOE10101,,Sumba Tengah,Mamboro,KOE,123000,10~,-,-,-,22
KOE10102,,Sumba Tengah,Umbu Ratu Nggay,KOE,123000,10~,-,-,-,22
KOE10103,,Sumba Tengah,Umbu Ratu Nggay Barat,KOE,123000,10~,-,-,-,22
KOE10104,,Sumba Tengah,Katikutana,KOE,123000,10~,-,-,-,22
KOE20100,,Belu,Atambua,KOE,65000,3 - 5,56000,5 - 9,-,22
KOE20101,,Belu,Kobalima,KOE,123000,10~,-,-,-,22
KOE20102,,Belu,Lamakmen,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20103,,Belu,Malaka Timur,KOE,123000,10~,-,-,-,22
KOE20104,,Belu,Malaka Tengah,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20106,,Belu,Malaka Barat,KOE,123000,10~,-,-,-,22
KOE20108,,Belu,Tasefeto Barat,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20109,,Belu,Tasifeto Timur,KOE,123000,10~,-,-,-,22
KOE20110,,Belu,Kakuluk Mesak,KOE,123000,10~,-,-,-,22
KOE20111,,Belu,Raihat,KOE,123000,10~,-,-,-,22
KOE20112,,Belu,Rinhat,KOE,123000,10~,-,-,-,22
KOE20113,,Belu,Sasita Mean,KOE,123000,10~,-,-,-,22
KOE20200,,Alor,Kalabahi,KOE,65000,3 - 5,56000,5 - 9,-,22
KOE20201,,Alor,Alor Timur,KOE,123000,10~,-,-,-,22
KOE20202,,Alor,Pantar,KOE,123000,10~,-,-,-,22
KOE20203,,Alor,Alor Selatan,KOE,123000,10~,-,-,-,22
KOE20204,,Alor,Alor Barat Daya,KOE,123000,10~,-,-,-,22
KOE20205,,Alor,Alor Barat Laut,KOE,123000,10~,-,-,-,22
KOE20206,,Alor,Alor Tengah Utara,KOE,123000,10~,-,-,-,22
KOE20207,,Alor,Alor Timur Laut,KOE,123000,10~,-,-,-,22
KOE20208,,Alor,Pantar Barat,KOE,123000,10~,-,-,-,22
KOE20209,,Alor,Teluk Mutiara,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20300,,Timor Tengah Utara,Kefamenanu,KOE,65000,3 - 5,56000,5 - 9,-,22
KOE20301,,Timor Tengah Utara,Biboki Selatan,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20302,,Timor Tengah Utara,Biboki Utara,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20303,,Timor Tengah Utara,Insana,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20304,,Timor Tengah Utara,Miomafo Timur,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20305,,Timor Tengah Utara,Miomafo Barat,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20306,,Timor Tengah Utara,Biboki Anleu,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20307,,Timor Tengah Utara,Insana Utara,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20309,,Timor Tengah Utara,Neomuti,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20400,,Flores Timur,Larantuka,KOE,65000,3 - 5,56000,5 - 9,-,22
KOE20401,,Flores Timur,Adonara Barat,KOE,123000,10~,-,-,-,22
KOE20402,,Flores Timur,Adonara Timur,KOE,123000,10~,-,-,-,22
KOE20409,,Flores Timur,Solor Barat,KOE,123000,10~,-,-,-,22
KOE20410,,Flores Timur,Solor Timur,KOE,123000,10~,-,-,-,22
KOE20411,,Flores Timur,Tanjung Bunga,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20412,,Flores Timur,Wulanggitan,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20414,,Flores Timur,Ile Boleng,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20415,,Flores Timur,Ile Mandiri,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20416,,Flores Timur,Kelubagolit,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20417,,Flores Timur,Titihena,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20418,,Flores Timur,Witihama,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20419,,Flores Timur,Wotan Ulu mado,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20500,,Sikka,Maumere,KOE,65000,3 - 5,56000,5 - 9,-,22
KOE20501,,Sikka,Bola,KOE,123000,10~,-,-,-,22
KOE20502,,Sikka,Kewapante,KOE,123000,10~,-,-,-,22
KOE20503,,Sikka,Lela,KOE,123000,10~,-,-,-,22
KOE20504,,Sikka,Nitta,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20505,,Sikka,Paga,KOE,123000,10~,-,-,-,22
KOE20506,,Sikka,Talibura,KOE,123000,10~,-,-,-,22
KOE20507,,Sikka,Alok,KOE,82000,5 - 9,70000,6 - 10,-,22
KOE20508,,Sikka,Mego,KOE,123000,10~,-,-,-,22
KOE20509,,Sikka,Palue,KOE,123000,10~,-,-,-,23
KOE20510,,Sikka,Waigete,KOE,123000,10~,-,-,-,23
KOE20600,,Manggarai,Ruteng,KOE,65000,3 - 5,56000,5 - 9,-,23
KOE20603,,Manggarai,Cibal,KOE,123000,10~,-,-,-,23
KOE20611,,Manggarai,Lambaleda,KOE,123000,10~,-,-,-,23
KOE20613,,Manggarai,Reo,KOE,123000,10~,-,-,-,23
KOE20614,,Manggarai,Satarmese,KOE,123000,10~,-,-,-,23
KOE20616,,Manggarai,Komba,KOE,123000,10~,-,-,-,23
KOE20617,,Manggarai,Mborong,KOE,123000,10~,-,-,-,23
KOE20618,,Manggarai,Ponco Ranaka,KOE,123000,10~,-,-,-,23
KOE20619,,Manggarai,Sambi Rambas,KOE,123000,10~,-,-,-,23
KOE20620,,Manggarai,Wae Rii,KOE,123000,10~,-,-,-,23
KOE20700,,Timor Tengah Selatan,Soe,KOE,65000,3 - 5,56000,5 - 9,-,23
KOE20701,,Timor Tengah Selatan,Amanatun Utara,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20702,,Timor Tengah Selatan,Amanatun Selatan,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20704,,Timor Tengah Selatan,Amanuban Selatan,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20706,,Timor Tengah Selatan,Amanuban Barat,KOE,123000,10~,-,-,-,23
KOE20707,,Timor Tengah Selatan,Mollo Utara,KOE,123000,10~,-,-,-,23
KOE20708,,Timor Tengah Selatan,Mollo Selatan,KOE,123000,10~,-,-,-,23
KOE20709,,Timor Tengah Selatan,Amanatun Tengah,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20710,,Timor Tengah Selatan,Amanatun Timur,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20711,,Timor Tengah Selatan,Batu Putih,KOE,123000,10~,-,-,-,23
KOE20712,,Timor Tengah Selatan,Boking,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20713,,Timor Tengah Selatan,Fatumnasi,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20714,,Timor Tengah Selatan,Kalbano,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20715,,Timor Tengah Selatan,Kie,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20716,,Timor Tengah Selatan,Kot'olin,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20717,,Timor Tengah Selatan,Kualin,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20718,,Timor Tengah Selatan,Kuan Fatu,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20719,,Timor Tengah Selatan,Nunkolo,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20720,,Timor Tengah Selatan,Oenino,KOE,123000,10~,-,-,-,23
KOE20721,,Timor Tengah Selatan,Polen,KOE,123000,10~,-,-,-,23
KOE20722,,Timor Tengah Selatan,Tionas,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20800,,Ende,Ende,KOE,65000,3 - 5,56000,5 - 9,-,23
KOE20801,,Ende,Detusoko,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20803,,Ende,Nanga Panda,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20804,,Ende,Ndona,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20805,,Ende,Wolo Waru,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20806,,Ende,Detukeli,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20807,,Ende,Ende Selatan,KOE,65000,3 - 5,56000,5 - 9,-,23
KOE20808,,Ende,Ende Tengah,KOE,65000,3 - 5,56000,5 - 9,-,23
KOE20809,,Ende,Ende Timur,KOE,65000,3 - 5,56000,5 - 9,-,23
KOE20810,,Ende,Ende Utara,KOE,65000,3 - 5,56000,5 - 9,-,23
KOE20811,,Ende,Kelimutu,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20812,,Ende,Kotabaru,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20813,,Ende,Lio Timur,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20814,,Ende,Maukaro,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20815,,Ende,Ndona Timur,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20816,,Ende,Pulau Ende,KOE,123000,10~,-,-,-,23
KOE20817,,Ende,Wewaria,KOE,123000,10~,-,-,-,23
KOE20818,,Ende,Wolojita,KOE,123000,10~,-,-,-,23
KOE20820,,Ende,Magekoba/Maurole,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20900,,Ngada,Bajawa,KOE,123000,10~,-,-,-,23
KOE20902,,Ngada,Aimere,KOE,123000,10~,-,-,-,23
KOE20907,,Ngada,Riung,KOE,123000,10~,-,-,-,23
KOE20908,,Ngada,Jere Buu,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20912,,Ngada,Ngada Bawa,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20913,,Ngada,Riung Barat,KOE,123000,10~,-,-,-,23
KOE20914,,Ngada,Soa,KOE,123000,10~,-,-,-,23
KOE20915,,Ngada,Wogomang Ulewa,KOE,82000,5 - 9,70000,6 - 10,-,23
KOE20917,,Ngada,Golewa,KOE,123000,10~,-,-,-,23
KOE21000,,Sumba Timur,Waingapu,KOE,65000,3 - 5,56000,5 - 9,-,23
KOE21001,,Sumba Timur,Lewa,KOE,123000,10~,-,-,-,23
KOE21002,,Sumba Timur,Paberiwai,KOE,123000,10~,-,-,-,23
KOE21003,,Sumba Timur,Pahunga Lodu,KOE,123000,10~,-,-,-,23
KOE21005,,Sumba Timur,Tabundung,KOE,123000,10~,-,-,-,23
KOE21006,,Sumba Timur,Haharu,KOE,123000,10~,-,-,-,23
KOE21007,,Sumba Timur,Kahaungu Eti,KOE,123000,10~,-,-,-,23
KOE21008,,Sumba Timur,Karera,KOE,123000,10~,-,-,-,23
KOE21010,,Sumba Timur,Matawai Lapau,KOE,123000,10~,-,-,-,23
KOE21011,,Sumba Timur,Nggaha Oriangu,KOE,123000,10~,-,-,-,23
KOE21012,,Sumba Timur,Pandawai,KOE,123000,10~,-,-,-,23
KOE21013,,Sumba Timur,Pinu Pahar,KOE,123000,10~,-,-,-,23
KOE21014,,Sumba Timur,Rindi,KOE,123000,10~,-,-,-,23
KOE21015,,Sumba Timur,Umalulu,KOE,123000,10~,-,-,-,23
KOE21016,,Sumba Timur,Wulla Waijelu,KOE,123000,10~,-,-,-,23
KOE21100,,Sumba Barat,Waikabubak,KOE,65000,3 - 5,56000,5 - 9,-,23
KOE21103,,Sumba Barat,Laratama,KOE,123000,10~,-,-,-,23
KOE21104,,Sumba Barat,Walakaka,KOE,123000,10~,-,-,-,23
KOE21200,,Manggarai Barat,Labuan Bajo,KOE,65000,3 - 5,56000,5 - 9,-,23
KOE21201,,Manggarai Barat,Komodo,KOE,123000,10~,-,-,-,23
KOE21202,,Manggarai Barat,Kuwus,KOE,123000,10~,-,-,-,23
KOE21203,,Manggarai Barat,Lembor,KOE,123000,10~,-,-,-,23
KOE21204,,Manggarai Barat,Macang Pacar,KOE,123000,10~,-,-,-,23
KOE21205,,Manggarai Barat,Sanonggoang,KOE,123000,10~,-,-,-,23
KOE21300,,Manggarai Timur,Borong,KOE,123000,10~,-,-,-,23
KOE21301,,Manggarai Timur,Elar,KOE,123000,10~,-,-,-,23
KOE21302,,Manggarai Timur,Lamba Leda,KOE,123000,10~,-,-,-,23
KOE21303,,Manggarai Timur,Poco Ranaka,KOE,123000,10~,-,-,-,23
KOE21304,,Manggarai Timur,Lomba,KOE,123000,10~,-,-,-,23
KOE21305,,Manggarai Timur,Sambi Rampas,KOE,123000,10~,-,-,-,23
KOE21400,,Nagekeo,Mbay,KOE,123000,10~,-,-,-,23
KOE21401,,Nagekeo,Aesesa,KOE,123000,10~,-,-,-,23
KOE21403,,Nagekeo,Boawae,KOE,123000,10~,-,-,-,23
KOE21404,,Nagekeo,Mauponggo,KOE,123000,10~,-,-,-,24
KOE21405,,Nagekeo,Nangaroro,KOE,123000,10~,-,-,-,24
KOE21406,,Nagekeo,Keo Tengah,KOE,123000,10~,-,-,-,24
KOE21407,,Nagekeo,Wolo Wae,KOE,123000,10~,-,-,-,24
KOE21408,,Nagekeo,Aesesa Selatan,KOE,123000,10~,-,-,-,24
KOE21500,,Rote Ndao,Baa,KOE,65000,3 - 5,56000,5 - 9,-,24
KOE21501,,Rote Ndao,Lobalain,KOE,123000,10~,-,-,-,24
KOE21502,,Rote Ndao,Pantai Baru,KOE,123000,10~,-,-,-,24
KOE21503,,Rote Ndao,Rote Barat Daya,KOE,123000,10~,-,-,-,24
KOE21504,,Rote Ndao,Rote Barat Laut,KOE,123000,10~,-,-,-,24
KOE21505,,Rote Ndao,Rote Tengah,KOE,123000,10~,-,-,-,24
KOE21506,,Rote Ndao,Rote Timur,KOE,123000,10~,-,-,-,24
KOE21600,,Sumba Barat Daya,Tambolaka,KOE,65000,3 - 5,56000,5 - 9,-,24
KOE21601,,Sumba Barat Daya,Kodi,KOE,123000,10~,-,-,-,24
KOE21602,,Sumba Barat Daya,Wewewa Barat,KOE,123000,10~,-,-,-,24
KOE21603,,Sumba Barat Daya,Wewewa Timur,KOE,123000,10~,-,-,-,24
KOE21604,,Sumba Barat Daya,Kodi Bangedo,KOE,123000,10~,-,-,-,24
KOE21605,,Sumba Barat Daya,Kodi Utara,KOE,123000,10~,-,-,-,24
KOE21606,,Sumba Barat Daya,Laura,KOE,123000,10~,-,-,-,24
KOE21607,,Sumba Barat Daya,Wewewa Selatan,KOE,123000,10~,-,-,-,24
KOE21608,,Sumba Barat Daya,Wewewa Utara,KOE,123000,10~,-,-,-,24
KOE21800,,Lembata,Lembata,KOE,65000,3 - 5,56000,5 - 9,-,24
KOE21801,,Lembata,Buyasuri,KOE,123000,10~,-,-,-,24
KOE21802,,Lembata,Omesuri,KOE,123000,10~,-,-,-,24
KOE21803,,Lembata,Lebatukan,KOE,123000,10~,-,-,-,24
KOE21804,,Lembata,Ile Ape,KOE,123000,10~,-,-,-,24
KOE21805,,Lembata,Nubatukan,KOE,123000,10~,-,-,-,24
KOE21806,,Lembata,Atadei,KOE,123000,10~,-,-,-,24
KOE21807,,Lembata,Nagawutung,KOE,123000,10~,-,-,-,24
KOE21808,,Lembata,Wulandoni,KOE,123000,10~,-,-,-,24
KOE21900,,Kupang,Oelamasi,KOE,65000,3 - 5,56000,5 - 9,-,24
KOE21901,,Kupang,Amabioefeto Timur,KOE,123000,10~,-,-,-,24
KOE21902,,Kupang,Amarasi Barat,KOE,123000,10~,-,-,-,24
KOE21903,,Kupang,Amarasi Selatan,KOE,123000,10~,-,-,-,24
KOE21904,,Kupang,Amarasi Timur,KOE,123000,10~,-,-,-,24
KOE21905,,Kupang,Amarasi,KOE,123000,10~,-,-,-,24
KOE21906,,Kupang,Amfoang Barat Daya,KOE,123000,10~,-,-,-,24
KOE21907,,Kupang,Amfoang Barat Laut,KOE,123000,10~,-,-,-,24
KOE21908,,Kupang,Amfoang Selatan,KOE,123000,10~,-,-,-,24
KOE21909,,Kupang,Amfoang Utara,KOE,123000,10~,-,-,-,24
KOE21910,,Kupang,Fatuleu,KOE,123000,10~,-,-,-,24
KOE21911,,Kupang,Fatuleu Barat,KOE,123000,10~,-,-,-,24
KOE21912,,Kupang,Fatuleu Tengah,KOE,123000,10~,-,-,-,24
KOE21913,,Kupang,Hawu Mehara,KOE,123000,10~,-,-,-,24
KOE21914,,Kupang,Kupang Barat,KOE,65000,3 - 5,56000,5 - 9,-,24
KOE21915,,Kupang,Kupang Tengah,KOE,65000,3 - 5,56000,5 - 9,-,24
KOE21916,,Kupang,Kupang Timur,KOE,65000,3 - 5,56000,5 - 9,-,24
KOE21917,,Kupang,Nekemese,KOE,123000,10~,-,-,-,24
KOE21918,,Kupang,Raijua,KOE,123000,10~,-,-,-,24
KOE21919,,Kupang,Sabu Barat,KOE,123000,10~,-,-,-,24
KOE21920,,Kupang,Sabu Liae,KOE,123000,10~,-,-,-,24
KOE21921,,Kupang,Sabu Timur,KOE,123000,10~,-,-,-,24
KOE21922,,Kupang,Semau,KOE,123000,10~,-,-,-,24
KOE21923,,Kupang,Semau Selatan,KOE,123000,10~,-,-,-,24
KOE21924,,Kupang,Sulamu,KOE,123000,10~,-,-,-,24
KOE21925,,Kupang,Taebenu,KOE,123000,10~,-,-,-,24
KOE21926,,Kupang,Takari,KOE,123000,10~,-,-,-,24
KRW10000,,Karawang,Karawang,KRW,9000,1 - 2,8000,2 - 3,19000,24
KRW10001,,Karawang,Batujaya,KRW,12000,2 - 3,11000,3 - 6,-,24
KRW10002,,Karawang,Cibuaya,KRW,12000,2 - 3,11000,3 - 6,-,24
KRW10003,,Karawang,Cikampek,KRW,9000,1 - 2,8000,2 - 3,19000,24
KRW10004,,Karawang,Cilamaya Kulon,KRW,12000,2 - 3,11000,3 - 6,-,24
KRW10005,,Karawang,Jatisari,KRW,9000,1 - 2,8000,2 - 3,-,24
KRW10006,,Karawang,Klari,KRW,9000,1 - 2,8000,2 - 3,19000,24
KRW10007,,Karawang,LEMAHABANG WADAS,KRW,9000,1 - 2,8000,2 - 3,-,24
KRW10008,,Karawang,Pakisjaya,KRW,12000,2 - 3,11000,3 - 6,-,24
KRW10009,,Karawang,Pangkalan,KRW,12000,2 - 3,11000,3 - 6,-,24
KRW10010,,Karawang,Pedes,KRW,12000,2 - 3,11000,3 - 6,-,24
KRW10011,,Karawang,Rawamerta,KRW,9000,1 - 2,8000,2 - 3,-,24
KRW10012,,Karawang,Rengasdengklok,KRW,9000,1 - 2,8000,2 - 3,-,24
KRW10013,,Karawang,Talagasari,KRW,9000,1 - 2,8000,2 - 3,-,24
KRW10014,,Karawang,Telukjambe Barat,KRW,9000,1 - 2,8000,2 - 3,19000,24
KRW10015,,Karawang,Tempuran,KRW,12000,2 - 3,11000,3 - 6,-,24
KRW10016,,Karawang,Tirtamulya,KRW,9000,2 - 3,8000,2 - 3,-,24
KRW10017,,Karawang,Tegalwaru,KRW,12000,2 - 3,11000,3 - 6,-,24
KRW10018,,Karawang,Banyusari,KRW,12000,2 - 3,11000,3 - 6,-,24
KRW10019,,Karawang,Ciampel,KRW,9000,2 - 3,8000,2 - 3,-,24
KRW10020,,Karawang,Cilamaya Wetan,KRW,12000,2 - 3,11000,3 - 6,-,24
KRW10021,,Karawang,Cilebar,KRW,12000,2 - 3,11000,3 - 6,-,24
KRW10022,,Karawang,Jayakerta,KRW,12000,2 - 3,11000,3 - 6,-,24
KRW10023,,Karawang,Karawang Barat,KRW,9000,2 - 3,8000,2 - 3,19000,24
KRW10024,,Karawang,Karawang Timur,KRW,9000,2 - 3,8000,2 - 3,19000,24
KRW10025,,Karawang,Kotabaru,KRW,9000,2 - 3,8000,2 - 3,19000,24
KRW10026,,Karawang,Kutawaluya,KRW,12000,2 - 3,11000,3 - 6,-,24
KRW10027,,Karawang,Majalaya,KRW,9000,2 - 3,8000,2 - 3,-,24
KRW10028,,Karawang,Purwasari,KRW,9000,2 - 3,8000,2 - 3,19000,24
KRW10029,,Karawang,Telukjambe Timur,KRW,9000,2 - 3,8000,2 - 3,19000,24
KRW10030,,Karawang,Tirtajaya,KRW,12000,2 - 3,11000,3 - 6,-,24
MDC10000,,Manado,Manado,MDC,42000,2 - 3,36000,3 - 5,-,24
MDC10021,,Manado,Bunaken,MDC,42000,2 - 3,36000,3 - 5,-,24
MDC10022,,Manado,Malalayang,MDC,42000,2 - 3,36000,3 - 5,-,24
MDC10023,,Manado,Mapanget,MDC,42000,2 - 3,36000,3 - 5,-,24
MDC10024,,Manado,Sario,MDC,42000,2 - 3,36000,3 - 5,-,24
MDC10025,,Manado,Singkil,MDC,42000,2 - 3,36000,3 - 5,-,24
MDC10026,,Manado,Tikala,MDC,42000,2 - 3,36000,3 - 5,-,25
MDC10027,,Manado,Tuminting,MDC,42000,2 - 3,36000,3 - 5,-,25
MDC10028,,Manado,Wanea,MDC,42000,2 - 3,36000,3 - 5,-,25
MDC10029,,Manado,Wenang,MDC,42000,2 - 3,36000,3 - 5,-,25
MDC20100,,Bolaang Mongondow,Kotamobagu,MDC,58000,3 - 5,50000,5 - 7,-,25
MDC20101,,Bolaang Mongondow,Bintauna,MDC,73000,5 - 7,63000,6 - 8,-,25
MDC20102,,Bolaang Mongondow,Bolaang,MDC,73000,5 - 7,63000,6 - 8,-,25
MDC20103,,Bolaang Mongondow,BOLAANG ITANG,MDC,73000,5 - 7,63000,6 - 8,-,25
MDC20104,,Bolaang Mongondow,BOLAANG UKI,MDC,73000,5 - 7,63000,6 - 8,-,25
MDC20106,,Bolaang Mongondow,Kaidipang,MDC,73000,5 - 7,63000,6 - 8,-,25
MDC20107,,Bolaang Mongondow,Kotabunan,MDC,73000,5 - 7,63000,6 - 8,-,25
MDC20108,,Bolaang Mongondow,Lolayan,MDC,73000,5 - 7,63000,6 - 8,-,25
MDC20109,,Bolaang Mongondow,Lolak,MDC,73000,5 - 7,63000,6 - 8,-,25
MDC20110,,Bolaang Mongondow,Modayag,MDC,73000,5 - 7,63000,6 - 8,-,25
MDC20111,,Bolaang Mongondow,Passi,MDC,73000,5 - 7,63000,6 - 8,-,25
MDC20112,,Bolaang Mongondow,Pinolosian,MDC,73000,5 - 7,63000,6 - 8,-,25
MDC20113,,Bolaang Mongondow,Poigar,MDC,73000,5 - 7,63000,6 - 8,-,25
MDC20114,,Bolaang Mongondow,Sangtombolang,MDC,73000,5 - 7,63000,6 - 8,-,25
MDC20115,,Bolaang Mongondow,Dumoga Barat,MDC,73000,5 - 7,63000,6 - 8,-,25
MDC20116,,Bolaang Mongondow,Dumoga Timur,MDC,73000,5 - 7,63000,6 - 8,-,25
MDC20117,,Bolaang Mongondow,Dumoga Utara,MDC,73000,5 - 7,63000,6 - 8,-,25
MDC20118,,Bolaang Mongondow,Nuangan,MDC,73000,5 - 7,63000,6 - 8,-,25
MDC20119,,Bolaang Mongondow,Pinogaluman,MDC,73000,5 - 7,63000,6 - 8,-,25
MDC20120,,Bolaang Mongondow,Posigadan,MDC,73000,5 - 7,63000,6 - 8,-,25
